,alpha,beta,gamma,best,ave
68,0.6,0.2,0.19999999999999996,"[0.42617806792259216, 0.5942466259002686, 0.5086089968681335]",0.509677896896998
69,0.6,0.3,0.10000000000000009,"[0.4392494559288025, 0.5478491187095642, 0.4687027931213379]",0.4852671225865682
70,0.6,0.4,0.0,"[0.4153064489364624, 0.5772709846496582, 0.12843823432922363]",0.37367188930511475
71,0.6,0.5,-0.10000000000000009,"[0.4225877523422241, 0.583888053894043, -0.40393659472465515]",0.20084640383720398
72,0.6,0.6,-0.19999999999999996,"[0.4370326101779938, 0.5860700607299805, -0.392209529876709]",0.2102977136770884
73,0.6,0.7,-0.2999999999999998,"[0.4157312214374542, 0.5622738599777222, -0.38283035159111023]",0.19839157660802206
74,0.6,0.8,-0.3999999999999999,"[0.40565675497055054, 0.5456589460372925, -0.402618408203125]",0.18289909760157266
75,0.6,0.9,-0.5,"[0.4152405261993408, 0.5570881366729736, -0.3936155140399933]",0.19290438294410706
76,0.6,1.0,-0.6000000000000001,"[0.40532490611076355, 0.5574505925178528, -0.41273969411849976]",0.18334526817003885
77,0.7,0.0,0.30000000000000004,"[0.4150962829589844, -0.13263796269893646, 0.48611974716186523]",0.2561926891406377
78,0.7,0.1,0.20000000000000007,"[0.4365173280239105, 0.5482938885688782, 0.4922444224357605]",0.49235187967618305
79,0.7,0.2,0.10000000000000009,"[0.43195247650146484, 0.598906934261322, 0.5014862418174744]",0.5107818841934204
80,0.7,0.3,0.0,"[0.4357287883758545, 0.5584824085235596, -0.08851771801710129]",0.3018978262941043
81,0.7,0.4,-0.10000000000000009,"[0.428427129983902, 0.5697028636932373, -0.396720290184021]",0.20046990116437277
82,0.7,0.5,-0.19999999999999996,"[0.43154242634773254, 0.5973435044288635, -0.4040350615978241]",0.20828362305959067
83,0.7,0.6,-0.2999999999999998,"[0.4321630597114563, 0.5756520628929138, -0.4134158790111542]",0.19813308119773865
84,0.7,0.7,-0.3999999999999999,"[0.4252128005027771, 0.5798138380050659, -0.4032679498195648]",0.2005862295627594
85,0.7,0.8,-0.5,"[0.40475186705589294, 0.5737260580062866, -0.40587589144706726]",0.19086734453837076
86,0.7,0.9,-0.6000000000000001,"[0.42065170407295227, 0.5627050399780273, -0.4070899784564972]",0.19208892186482748
87,0.7,1.0,-0.7,"[0.4027511179447174, 0.5906498432159424, -0.4035874605178833]",0.19660450021425882
88,0.8,0.0,0.19999999999999996,"[0.4303828477859497, 0.12913204729557037, 0.4873374402523041]",0.34895077844460803
89,0.8,0.1,0.09999999999999998,"[0.4264134168624878, 0.5636153817176819, 0.48336008191108704]",0.4911296268304189
90,0.8,0.2,0.0,"[0.4320683777332306, 0.5650496482849121, -0.1267673671245575]",0.29011688629786175
